Year	Month	Day	Hour	Minute	Second	Catalog	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12863	6	22	-2	-18	-31	0	Pen	—	—	2N	145E
-12863	11	17	19	33	18	0	P	—	—	15S	99W
-12862	5	13	-20	-10	-36	0	Pen	—	—	19N	166W
-12862	11	07	10	23	57	0	T	—	—	18S	100E
-12861	5	02	-13	-22	-56	0	T	—	—	21N	71W
-12861	10	27	-4	-56	-12	0	P	—	—	20S	136W
-12860	4	21	-23	-41	-42	0	T	—	—	23N	113E
-12860	10	15	-3	-23	-19	0	Pen	—	—	22S	117W
-12859	3	12	-14	-27	-27	0	Pen	—	—	25N	136W
-12859	4	10	-6	-56	-44	0	Pen	—	—	23N	2W
-12859	9	05	-20	-13	-46	0	P	—	—	24S	52W
-12858	3	01	-1	-30	00	0	P	—	—	22N	33E
-12858	8	25	-11	-28	-19	0	T	—	—	21S	72E
-12857	2	19	04	25	32	0	T	—	—	19N	112E
-12857	8	15	-21	-12	-14	0	P	—	—	17S	88W
-12856	2	08	05	19	32	0	P	—	—	15N	116E
-12856	8	03	-5	-50	-38	0	Pen	—	—	13S	126E
-12856	12	28	21	20	00	0	Pen	—	—	2N	44W
-12855	6	24	-9	-22	-10	0	P	—	—	1N	41E
-12855	12	18	10	22	22	0	T	—	—	3S	141E
-12854	6	13	-7	-49	-9	0	T	—	—	7N	45E
-12854	12	08	03	08	47	0	T	—	—	8S	25E
-12853	6	02	-8	-19	-23	0	T	—	—	12N	34E
-12853	10	29	-15	-26	-29	0	Pen	—	—	19S	76E
-12853	11	27	19	01	46	0	Pen	—	—	13S	105W
-12852	5	21	-3	-29	-31	0	Pen	—	—	16N	98E
-12852	10	17	-9	-2	-18	0	P	—	—	22S	155E
-12851	4	12	-23	-54	-57	0	P	—	—	23N	104E
-12851	10	06	-8	-51	-38	0	T	—	—	24S	144E
-12850	4	01	-7	-3	-30	0	T	—	—	24N	11W
-12850	9	25	-8	-10	-27	0	P	—	—	25S	148E
-12849	3	22	-17	-6	-17	0	P	—	—	25N	172W
-12849	8	16	-13	-20	-55	0	Pen	—	—	17S	33E
-12849	9	14	00	-54	-51	0	Pen	—	—	25S	118W
-12848	2	10	00	27	12	0	Pen	—	—	15N	43E
-12848	3	10	-9	-46	-13	0	Pen	—	—	24N	78W
-12848	8	05	-22	-18	-11	0	P	—	—	14S	112W
-12847	1	29	01	10	59	0	P	—	—	12N	47E
-12847	7	25	-7	-28	-33	0	T	—	—	11S	102E
-12846	1	18	05	52	48	0	T	—	—	9N	111E
-12846	7	15	-21	-25	-20	0	P	—	—	7S	118W
-12845	1	07	17	44	18	0	P	—	—	6N	79W
-12845	7	04	-18	-38	-35	0	Pen	—	—	3S	99W
-12845	11	29	03	09	04	0	P	—	—	12S	16E
-12844	5	23	-12	-54	-51	0	Pen	—	—	16N	50W
-12844	11	17	17	52	48	0	T	—	—	15S	129W
-12843	5	12	-5	-49	-3	0	T	—	—	18N	44E
-12843	11	07	02	15	21	0	P	—	—	18S	20W
-12842	5	02	-15	-59	-19	0	T	—	—	20N	116W
-12842	10	27	-20	-20	-32	0	Pen	—	—	20S	1W
-12841	3	23	-7	-18	-20	0	Pen	—	—	26N	20W
-12841	4	22	-23	-21	-41	0	Pen	—	—	22N	128E
-12841	9	16	-12	-16	-24	0	P	—	—	25S	79E
-12840	3	12	-18	-51	-33	0	P	—	—	24N	149E
-12840	9	04	-3	-1	-17	0	T	—	—	23S	157W
-12839	3	01	-13	-28	-33	0	T	—	—	21N	132W
-12839	8	25	-12	-30	-14	0	P	—	—	20S	43E
-12838	2	18	11	16	13	0	P	—	—	18N	143W
-12838	8	15	-21	-10	-4	0	Pen	—	—	17S	88W
-12837	1	09	04	00	11	0	Pen	—	—	6N	72E
-12837	2	07	14	38	06	0	Pen	—	—	14N	94W
-12837	7	05	-1	-25	-6	0	P	—	—	3S	172E
-12837	12	29	17	31	37	0	T	—	—	1N	88W
-12836	6	23	00	-18	-17	0	T	—	—	2N	176E
