-3878	6	11	22	52	38	102431	T	205.0	68.0	17S	80E
-3878	12	05	15	00	59	102414	T	215.4	85.1	17N	159W
-3877	6	01	08	38	27	102397	T	206.7	35.7	15S	66W
-3877	11	25	02	52	25	102379	P	92.3	—	14N	23E
-3876	5	20	11	29	00	102362	Pen	—	—	11S	108W
-3876	10	15	07	16	30	102348	Pen	—	—	4S	41W
-3876	11	13	18	20	45	102345	Pen	—	—	10N	150E
-3875	4	09	23	26	03	102330	P	133.6	—	6N	78E
-3875	10	04	19	22	38	102313	P	192.4	—	8S	137E
-3874	3	30	08	58	50	102296	T	218.9	101.7	9N	65W
-3874	9	24	00	33	27	102278	T	227.1	93.0	12S	60E
-3873	3	20	00	24	10	102261	P	149.3	—	12N	64E
-3873	9	13	00	06	32	102244	P	100.1	—	15S	66E
-3872	2	08	09	06	02	102229	Pen	—	—	24N	66W
-3872	3	08	17	29	48	102226	Pen	—	—	15N	168E
-3872	8	02	10	47	26	102212	Pen	—	—	25S	96W
-3872	9	01	01	09	42	102209	Pen	—	—	18S	50E
-3871	1	27	19	47	17	102195	T	206.3	44.5	24N	133E
-3871	7	22	22	50	27	102177	P	183.2	—	25S	82E
-3870	1	16	23	02	56	102160	T	221.9	72.8	24N	83E
-3870	7	12	15	08	02	102143	T	207.7	91.1	23S	164W
-3869	1	05	22	39	53	102126	Pen	—	—	22N	87E
-3869	7	02	07	03	22	102108	P	90.1	—	21S	43W
-3869	11	26	12	25	35	102094	Pen	—	—	15N	122W
-3868	5	22	05	36	58	102076	P	17.4	—	12S	21W
-3868	11	15	01	43	26	102059	T	190.6	35.5	10N	39E
-3867	5	11	07	11	34	102042	T	229.0	89.4	7S	44W
-3867	11	04	17	20	16	102025	T	206.4	86.9	5N	165E
-3866	4	30	08	54	11	102007	P	197.3	—	2S	68W
-3866	10	25	06	35	50	101990	P	87.0	—	0S	33W
-3865	3	21	08	23	33	101976	Pen	—	—	11N	57W
-3865	4	19	16	56	39	101973	Pen	—	—	3N	173E
-3865	9	14	19	26	30	101958	Pen	—	—	14S	135E
-3864	3	10	00	41	49	101941	P	176.3	—	15N	59E
-3864	9	02	18	38	59	101924	P	176.8	—	18S	146E
-3863	2	27	17	20	24	101906	T	212.1	94.4	19N	170E
-3863	8	22	21	30	14	101889	T	225.4	101.4	21S	103E
-3862	2	17	05	43	00	101872	P	79.8	—	22N	16W
-3862	8	12	07	47	47	101855	P	138.4	—	24S	52W
-3861	1	07	17	57	11	101840	Pen	—	—	22N	157E
-3861	7	03	15	08	15	101823	Pen	—	—	21S	165W
-3861	8	01	23	16	48	101820	Pen	—	—	25S	74E
-3861	12	27	17	51	12	101806	P	202.1	—	22N	157E
-3860	6	22	06	11	58	101788	T	199.7	47.5	20S	32W
-3860	12	15	23	16	29	101771	T	215.6	86.7	20N	75E
-3859	6	11	15	22	00	101754	T	214.5	65.6	18S	170W
-3859	12	05	11	33	05	101736	P	95.3	—	17N	110W
-3858	5	31	17	46	50	101719	Pen	—	—	15S	154E
-3858	10	26	16	06	43	101705	Pen	—	—	0N	177W
-3858	11	25	03	10	16	101702	Pen	—	—	14N	15E
-3857	4	21	06	00	25	101687	P	103.3	—	2N	25W
-3857	10	16	03	53	27	101670	P	192.9	—	3S	7E
-3856	4	09	16	04	56	101653	T	217.6	99.9	5N	175W
-3856	10	04	08	35	56	101635	T	227.6	93.5	7S	64W
-3855	3	30	07	49	42	101618	P	162.7	—	8N	51W
-3855	9	23	07	55	35	101601	P	105.3	—	11S	54W
-3854	2	18	16	45	32	101586	Pen	—	—	22N	177E
-3854	3	20	00	57	22	101583	Pen	—	—	11N	53E
-3854	8	13	18	35	54	101569	Pen	—	—	24S	145E
-3854	9	12	09	08	52	101566	Pen	—	—	14S	73W
-3853	2	08	03	11	05	101552	P	201.7	—	23N	20E
-3853	8	03	06	50	50	101535	P	177.9	—	24S	40W
-3852	1	28	06	13	24	101517	T	225.5	82.4	24N	27W
-3852	7	22	23	05	12	101500	T	209.1	94.4	24S	75E
-3851	1	16	06	02	02	101483	Pen	—	—	23N	25W
-3851	7	12	14	40	00	101465	P	109.8	—	23S	160W
-3851	12	06	20	53	48	101451	Pen	—	—	18N	109E
-3850	6	02	12	09	11	101434	Pen	—	—	16S	123W
-3850	11	26	10	30	36	101416	T	190.4	35.5	14N	96W
-3849	5	22	13	26	17	101399	T	222.7	71.7	11S	141W
-3849	11	16	02	11	19	101382	T	206.6	86.8	9N	29E
-3848	5	10	15	23	03	101364	T	207.7	30.0	6S	169W
-3848	11	04	15	13	25	101347	P	83.6	—	5N	166W
-3847	3	31	15	38	51	101333	Pen	—	—	7N	169W
-3847	4	29	23	54	17	101330	Pen	—	—	2S	64E
-3847	9	25	03	19	24	101315	Pen	—	—	10S	14E
-3846	3	21	08	11	44	101298	P	166.5	—	12N	57W
-3846	9	14	02	24	44	101281	P	173.6	—	15S	28E
-3845	3	11	00	49	47	101264	T	214.3	98.4	16N	54E
-3845	9	03	05	29	36	101246	T	225.0	101.7	19S	19W
-3844	2	28	12	56	09	101229	P	107.1	—	20N	127W
-3844	8	22	16	01	33	101212	P	144.3	—	22S	177W
-3843	1	18	01	13	29	101197	Pen	—	—	23N	46E
-3843	7	13	22	55	41	101180	Pen	—	—	22S	76E
-3843	8	12	07	29	58	101177	Pen	—	—	24S	51W
-3842	1	07	01	27	04	101163	P	198.4	—	23N	42E
-3842	7	03	13	35	42	101145	P	193.7	—	22S	145W
-3842	12	27	07	25	53	101128	T	216.0	89.0	22N	49W
-3841	6	22	22	10	30	101111	T	220.4	81.5	20S	85E
-3841	12	16	20	09	22	101094	P	99.8	—	21N	119E
-3840	6	11	00	09	14	101076	Pen	—	—	18S	55E
-3840	11	06	00	56	24	101062	Pen	—	—	5N	48E
-3840	12	05	11	55	56	101059	Pen	—	—	18N	119W
-3839	5	01	12	36	47	101045	P	54.9	—	3S	128W
-3839	10	26	12	24	08	101027	P	193.4	—	1N	124W
-3838	4	20	23	10	35	101010	T	215.0	95.3	1N	75E
-3838	10	15	16	41	01	100993	T	228.1	93.7	3S	171E
-3837	4	10	15	13	12	100975	P	174.1	—	4N	165W
-3837	10	04	15	49	26	100958	P	108.8	—	7S	176W
-3836	3	01	00	16	31	100944	Pen	—	—	19N	62E
-3836	3	30	08	20	28	100941	Pen	—	—	8N	62W
-3836	8	24	02	35	13	100926	Pen	—	—	22S	23E
-3836	9	22	17	16	15	100924	Pen	—	—	11S	163E
-3835	2	18	10	22	50	100909	P	195.0	—	21N	90W
-3835	8	13	15	01	06	100892	P	173.3	—	23S	164W
-3834	2	07	13	11	09	100874	T	229.2	91.4	23N	133W
-3834	8	03	07	11	22	100857	T	210.0	96.3	24S	48W
-3833	1	27	13	13	20	100840	P	70.5	—	23N	135W
-3833	7	23	22	24	45	100823	P	123.5	—	23S	82E
-3833	12	18	05	16	58	100808	Pen	—	—	21N	19W
-3832	6	12	18	43	38	100791	Pen	—	—	19S	136E
-3832	12	06	19	14	48	100774	T	190.0	34.1	18N	131E
-3831	6	01	19	43	15	100756	T	214.3	38.9	15S	121E
-3831	11	26	10	59	27	100739	T	206.9	86.8	13N	106W
-3830	5	21	21	54	44	100722	T	215.5	66.7	11S	89E
-3830	11	15	23	49	04	100704	P	80.4	—	9N	62E
-3829	4	11	22	52	50	100690	Pen	—	—	3N	78E
-3829	5	11	06	55	01	100687	Pen	—	—	6S	45W
-3829	10	06	11	16	05	100673	Pen	—	—	6S	108W
-3828	3	31	15	39	11	100655	P	154.4	—	8N	172W
-3828	9	24	10	17	10	100638	P	171.5	—	11S	93W
-3827	3	21	08	12	23	100621	T	215.8	100.5	12N	60W
-3827	9	13	13	37	39	100604	T	224.5	101.8	15S	143W
-3826	3	10	19	59	48	100586	P	130.0	—	16N	124E
-3826	9	03	00	24	19	100569	P	148.2	—	19S	55E
-3825	1	29	08	18	06	100555	Pen	—	—	23N	62W
-3825	7	25	06	52	16	100537	Pen	—	—	23S	45W
-3825	8	23	15	52	25	100535	Pen	—	—	22S	178W
-3824	1	18	08	54	00	100520	P	193.2	—	24N	72W
-3824	7	13	21	05	45	100503	P	187.3	—	23S	100E
-3823	1	06	15	27	58	100486	T	216.6	91.7	24N	172W
-3823	7	03	05	04	30	100468	T	224.8	91.3	22S	21W
-3823	12	27	04	37	20	100451	P	106.6	—	23N	10W
-3822	6	22	06	37	56	100434	P	28.2	—	21S	45W
-3822	11	17	09	43	52	100419	Pen	—	—	9N	87W
-3822	12	16	20	34	42	100416	Pen	—	—	21N	109E
-3821	5	12	19	15	55	100402	Pen	—	—	7S	129E
-3821	11	06	20	54	05	100385	P	194.0	—	6N	105E
-3820	5	01	06	17	07	100367	T	211.1	87.4	3S	36W
-3820	10	26	00	48	21	100350	T	228.4	93.7	2N	46E
-3819	4	20	22	32	50	100333	P	184.0	—	0N	81E
-3819	10	14	23	49	15	100316	P	110.1	—	3S	61E
-3818	3	12	07	38	28	100301	Pen	—	—	16N	51W
-3818	4	10	15	37	53	100298	Pen	—	—	4N	175W
-3818	9	04	10	44	16	100284	Pen	—	—	19S	101W
-3818	10	04	01	30	33	100281	Pen	—	—	7S	36E
-3817	3	01	17	24	53	100266	P	185.9	—	19N	162E
-3817	8	24	23	20	20	100249	P	169.5	—	21S	69E
-3816	2	18	20	00	59	100232	T	232.3	98.6	21N	122E
-3816	8	13	15	24	14	100215	T	210.6	97.4	23S	173W
-3815	2	06	20	17	56	100197	P	101.5	—	22N	117E
-3815	8	03	06	16	10	100180	P	133.8	—	23S	37W
-3815	12	28	13	32	40	100166	Pen	—	—	23N	145W
-3814	6	24	01	23	50	100148	Pen	—	—	22S	33E
-3814	12	18	03	51	53	100131	T	189.0	28.5	21N	1W
-3813	6	13	02	07	33	100114	P	204.4	—	18S	22E
-3813	12	07	19	41	04	100097	T	207.4	87.5	17N	121E
-3812	6	01	04	33	33	100079	T	220.8	84.0	14S	14W
-3812	11	26	08	19	45	100062	P	78.9	—	13N	68W
-3811	4	22	06	04	33	100048	Pen	—	—	1S	34W
