Year	Month	Day	Hour	Minute	Second	EclipseType	Magnitude1	Magnitude2	Latitude	Longitude
-12887	3	21	09	15	15	P	—	—	23N	79E
-12887	9	15	00	17	42	T	—	—	24S	103W
-12886	3	11	02	24	51	T	—	—	23N	68E
-12886	9	04	00	15	15	P	—	—	23S	116W
-12885	2	28	17	13	46	P	—	—	22N	57E
-12885	7	25	17	25	17	Pen	—	—	9S	157W
-12885	8	24	06	27	12	Pen	—	—	21S	128W
-12884	1	19	12	29	39	Pen	—	—	8N	20E
-12884	7	14	08	14	38	P	—	—	5S	167W
-12883	1	07	13	10	50	T	—	—	4N	10E
-12883	7	03	23	25	17	T	—	—	1S	177W
-12883	12	27	16	53	19	T	—	—	1N	0W
-12882	6	23	10	20	38	P	—	—	3N	172E
-12882	11	17	19	16	10	Pen	—	—	16S	36W
-12882	12	17	03	40	01	Pen	—	—	3S	10W
-12881	6	12	14	08	00	Pen	—	—	7N	162E
-12881	11	07	11	49	12	P	—	—	19S	46W
-12880	5	01	20	44	44	Pen	—	—	22N	123E
-12880	10	27	02	44	26	T	—	—	21S	57W
-12879	4	21	03	14	49	T	—	—	23N	111E
-12879	10	16	11	41	42	P	—	—	22S	69W
-12878	4	10	16	44	58	P	—	—	24N	100E
-12878	10	05	13	24	23	Pen	—	—	23S	81W
-12877	3	02	02	27	36	Pen	—	—	23N	58E
-12877	3	31	09	35	42	Pen	—	—	23N	89E
-12877	8	25	19	42	57	P	—	—	21S	126W
-12876	2	19	15	53	34	P	—	—	20N	48E
-12876	8	14	04	00	46	T	—	—	18S	137W
-12875	2	07	22	21	30	T	—	—	16N	37E
-12875	8	03	18	03	18	P	—	—	13S	148W
-12874	1	27	23	25	26	P	—	—	11N	27E
-12874	7	24	09	29	05	Pen	—	—	9S	158W
-12874	12	18	14	35	22	Pen	—	—	2S	8W
-12873	6	14	06	47	57	P	—	—	6N	164E
-12873	12	08	03	06	11	T	—	—	7S	18W
-12872	6	02	08	48	54	T	—	—	11N	154E
-12872	11	26	19	38	38	P	—	—	12S	27W
-12871	5	22	08	22	33	T	—	—	16N	143E
-12871	10	18	00	52	33	Pen	—	—	21S	67W
-12871	11	16	11	35	05	Pen	—	—	16S	37W
-12870	5	11	12	55	26	Pen	—	—	20N	132E
-12870	10	07	07	35	02	P	—	—	23S	79W
-12869	4	01	16	35	11	P	—	—	24N	91E
-12869	9	26	07	47	42	T	—	—	24S	91W
-12868	3	21	09	37	52	T	—	—	24N	79E
-12868	9	14	08	05	08	P	—	—	25S	104W
